2023-05-19 18:41:30,774 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:1d:96:09:44
2023-05-19 18:44:16,659 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from c0:07:1d:96:09:44
2023-05-19 18:44:58,471 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 18:44:58,471 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 18:44:58,474 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 18:44:58,476 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 18:44:58,479 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 18:44:58,484 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 18:45:02,280 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:1d:96:09:44
2023-05-19 18:45:37,969 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from c0:07:1d:96:09:44
2023-05-19 18:46:16,426 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 18:46:16,427 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 18:46:16,430 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 18:46:16,432 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 18:46:16,434 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 18:46:16,439 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 18:46:26,471 | MainThread   | [ERROR   ] | _connect            |: Device with address c0:07:1d:96:09:44 was not found.
2023-05-19 18:46:27,490 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-05-19 18:46:27,493 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 18:46:37,486 | MainThread   | [ERROR   ] | _connect            |: Device with address c0:07:1d:96:09:44 was not found.
2023-05-19 18:46:38,503 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-05-19 18:46:38,504 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 18:46:48,170 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:1d:96:09:44
2023-05-19 18:58:04,125 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from c0:07:1d:96:09:44
2023-05-19 18:58:08,858 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 18:58:08,858 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 18:58:08,860 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 18:58:08,863 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 18:58:08,865 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 18:58:08,869 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 18:58:13,122 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:1d:96:09:44
2023-05-19 19:05:11,540 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from c0:07:1d:96:09:44
2023-05-19 19:06:22,711 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 19:06:22,711 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 19:06:22,714 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 19:06:22,718 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 19:06:22,719 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 19:06:22,723 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 19:06:26,775 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:1d:96:09:44
2023-05-19 19:07:23,790 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from c0:07:1d:96:09:44
2023-05-19 19:08:06,068 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 19:08:06,068 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 19:08:06,068 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 19:08:06,068 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 19:08:06,068 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 19:08:06,080 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 19:08:10,974 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:1d:96:09:44
2023-05-19 19:17:15,603 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from c0:07:1d:96:09:44
2023-05-19 19:17:18,287 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 19:17:18,287 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 19:17:18,291 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 19:17:18,292 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 19:17:18,294 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 19:17:18,298 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 19:17:22,280 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:1d:96:09:44
2023-05-19 19:38:47,885 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 19:38:47,886 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 19:38:47,887 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 19:38:47,891 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 19:38:47,892 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 19:38:47,896 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2023-05-19 19:38:49,276 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from c0:07:1d:96:09:44
2023-05-19 19:39:04,990 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 19:39:04,991 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 19:39:04,992 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 19:39:04,995 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 19:39:04,998 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 19:39:05,002 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 19:39:10,095 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:1d:96:09:44
2023-05-19 19:56:24,805 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from c0:07:1d:96:09:44
2023-05-19 20:27:47,741 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 20:27:47,742 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 20:27:47,744 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 20:27:47,746 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 20:27:47,750 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 20:27:47,759 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 20:27:53,444 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:1d:96:09:44
2023-05-19 20:39:04,288 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from c0:07:1d:96:09:44
2023-05-19 20:39:08,185 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 20:39:08,186 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 20:39:08,187 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 20:39:08,190 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 20:39:08,192 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 20:39:08,196 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 20:39:12,722 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:1d:96:09:44
2023-05-19 21:19:50,292 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 21:19:50,293 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 21:19:50,294 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 21:19:50,296 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 21:19:50,299 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 21:19:50,308 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2023-05-19 21:24:47,126 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 21:24:47,127 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 21:24:47,130 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 21:24:47,133 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 21:24:47,134 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 21:24:47,138 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2023-05-19 21:24:48,173 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from c0:07:1d:96:09:44
2023-05-19 21:25:03,096 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 21:25:03,097 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 21:25:03,100 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 21:25:03,102 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 21:25:03,103 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 21:25:03,106 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 21:25:05,929 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:1d:96:09:44
2023-05-19 21:27:54,174 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from c0:07:1d:96:09:44
2023-05-19 21:28:00,600 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 21:28:00,600 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 21:28:00,602 | MainThread   | [WARNING ] | <module>            |: warning
2023-05-19 21:28:00,605 | MainThread   | [ERROR   ] | <module>            |: error
2023-05-19 21:28:00,607 | MainThread   | [CRITICAL] | <module>            |: critical
2023-05-19 21:28:00,612 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:07:1d:96:09:44
2023-05-19 21:28:04,997 | MainThread   | [INFO    ] | _connect            |: Connected to c0:07:1d:96:09:44
2023-05-19 21:30:04,557 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from c0:07:1d:96:09:44
2023-05-19 21:35:02,549 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-05-19 21:35:02,549 | MainThread   | [INFO    ] | <module>            |: info
2023-05-19 21:35:02,552 | MainThread   | [WARNING ] | <module>            |: warning
